step,losses/eval.bodypart_heatmap,losses/eval.bodypart_locref,losses/eval.bodypart_total_loss,losses/eval.total_loss,losses/train.bodypart_heatmap,losses/train.bodypart_locref,losses/train.bodypart_total_loss,losses/train.total_loss,metrics/test.mAP,metrics/test.mAP_pcutoff,metrics/test.mAR,metrics/test.mAR_pcutoff,metrics/test.rmse,metrics/test.rmse_pcutoff
1,0.00028542030486278236,0.4033566415309906,0.010226627811789513,0.010226627811789513,0.00054925587028265,0.49774616956710815,0.012718282639980316,0.012718282639980316,17.015001500150014,0.0,30.0,0.0,158.58526611328125,nan
2,0.00023154057271312922,0.2797180712223053,0.007108722347766161,0.007108722347766161,0.0004095305339433253,0.3441702425479889,0.008809021674096584,0.008809021674096584,48.838508850885084,0.0,61.818181818181806,0.0,64.84333801269531,4.679852485656738
3,0.00018593626737128943,0.22087909281253815,0.005614945199340582,0.005614945199340582,0.00033360268571414053,0.28235435485839844,0.007225659675896168,0.007225659675896168,73.10193519351935,4.95049504950495,80.0,4.545454545454546,33.36507797241211,4.510256290435791
4,0.00017351559654343873,0.24228022992610931,0.0061437636613845825,0.0061437636613845825,0.00030272090225480497,0.2560665011405945,0.006553023122251034,0.006553023122251034,79.13456345634562,1.9801980198019795,84.54545454545455,1.8181818181818181,36.24381637573242,7.58831787109375
5,0.0001882452197605744,0.22676216065883636,0.005763177294284105,0.005763177294284105,0.0002829374570865184,0.22604437172412872,0.005792578216642141,0.005792578216642141,81.75337533753377,9.504950495049503,86.36363636363636,9.090909090909092,22.02193832397461,6.369687557220459
6,0.00019948245608247817,0.24300971627235413,0.006174984388053417,0.006174984388053417,0.00026776629965752363,0.21556761860847473,0.005523073952645063,0.005523073952645063,77.74797479747974,0.0,83.63636363636363,0.0,36.1729621887207,6.773070812225342
7,0.0001429950207239017,0.19391794502735138,0.004919446539133787,0.004919446539133787,0.00023759121540933847,0.18079873919487,0.004638764541596174,0.004638764541596174,90.75607560756075,4.95049504950495,94.54545454545456,4.545454545454546,15.835470199584961,4.688830375671387
8,0.00015312344476114959,0.2134426236152649,0.005412627477198839,0.005412627477198839,0.00022276108211372048,0.19044341146945953,0.004872465971857309,0.004872465971857309,86.6156615661566,0.0,91.81818181818183,0.0,22.130352020263672,4.69366455078125
9,0.00013547163689509034,0.20369967818260193,0.005160227417945862,0.005160227417945862,0.00021818593086209148,0.18067722022533417,0.00462602311745286,0.00462602311745286,84.6984698469847,22.17821782178218,90.90909090909089,21.818181818181817,23.745363235473633,5.875672340393066
10,0.00013577357458416373,0.1953427791595459,0.0049514565616846085,0.0049514565616846085,0.0002109455526806414,0.1615251749753952,0.0041436017490923405,0.0041436017490923405,91.25112511251125,9.603960396039604,94.54545454545456,9.090909090909092,18.02215576171875,4.208785057067871
11,0.00013389243395067751,0.19324316084384918,0.004898025654256344,0.004898025654256344,0.0001956557243829593,0.15326860547065735,0.003929543308913708,0.003929543308913708,91.11611161116112,14.752475247524751,94.54545454545456,14.545454545454545,15.522377014160156,4.937033176422119
